Report{id=1, positionName='Beer', quantity=2, amount=12.2, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=2, positionName='AnyPosition', quantity=367, amount=11502.828018439332, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=3, positionName='AnyPosition', quantity=780, amount=15758.337993285893, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=4, positionName='AnyPosition', quantity=109, amount=46958.06395745949, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=5, positionName='AnyPosition', quantity=525, amount=39612.39357704456, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=6, positionName='AnyPosition', quantity=671, amount=46244.13192611287, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=7, positionName='AnyPosition', quantity=226, amount=10568.663913731009, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=8, positionName='AnyPosition', quantity=883, amount=26404.83566192608, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=9, positionName='AnyPosition', quantity=612, amount=88738.06981705196, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=10, positionName='AnyPosition', quantity=756, amount=60708.640116860915, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=11, positionName='AnyPosition', quantity=679, amount=96080.63774867723, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=12, positionName='AnyPosition', quantity=513, amount=71157.99611132998, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=13, positionName='AnyPosition', quantity=696, amount=20187.782590053073, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=14, positionName='AnyPosition', quantity=205, amount=14609.688733469666, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=15, positionName='AnyPosition', quantity=935, amount=9168.235173524521, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=16, positionName='AnyPosition', quantity=120, amount=82670.64067239292, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=17, positionName='AnyPosition', quantity=847, amount=7219.118507672356, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=18, positionName='AnyPosition', quantity=869, amount=88896.34113521231, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=19, positionName='AnyPosition', quantity=482, amount=35432.695465415716, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=20, positionName='AnyPosition', quantity=565, amount=87853.5104049929, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=21, positionName='AnyPosition', quantity=986, amount=95528.31832481483, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=22, positionName='AnyPosition', quantity=169, amount=67462.30194932874, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=23, positionName='AnyPosition', quantity=671, amount=87870.09074367357, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=24, positionName='AnyPosition', quantity=246, amount=74791.31308914971, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=25, positionName='AnyPosition', quantity=336, amount=41974.98162617238, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=26, positionName='AnyPosition', quantity=109, amount=34871.62601395043, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=27, positionName='AnyPosition', quantity=721, amount=22594.52823046575, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=28, positionName='AnyPosition', quantity=981, amount=66262.22598400878, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=29, positionName='AnyPosition', quantity=254, amount=12209.052774966925, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=30, positionName='AnyPosition', quantity=454, amount=15599.204466553376, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=31, positionName='AnyPosition', quantity=682, amount=94725.82509345985, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=32, positionName='AnyPosition', quantity=633, amount=65977.00552507724, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=33, positionName='AnyPosition', quantity=222, amount=60604.03252509065, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=34, positionName='AnyPosition', quantity=615, amount=17755.172625807325, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=35, positionName='AnyPosition', quantity=814, amount=75296.14224745645, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=36, positionName='AnyPosition', quantity=865, amount=85037.86152224403, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=37, positionName='AnyPosition', quantity=958, amount=54951.650307463846, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=38, positionName='AnyPosition', quantity=10, amount=90060.73445147043, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=39, positionName='AnyPosition', quantity=907, amount=33394.66161518462, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=40, positionName='AnyPosition', quantity=23, amount=58318.898462091136, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=41, positionName='AnyPosition', quantity=235, amount=25304.932661275132, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=42, positionName='AnyPosition', quantity=792, amount=26865.351834562603, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=43, positionName='AnyPosition', quantity=684, amount=63954.72865779898, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=44, positionName='AnyPosition', quantity=846, amount=88460.82628212826, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=45, positionName='AnyPosition', quantity=548, amount=21750.733240751124, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=46, positionName='AnyPosition', quantity=22, amount=88903.6897803872, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=47, positionName='AnyPosition', quantity=232, amount=35884.617215861654, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=48, positionName='AnyPosition', quantity=429, amount=22362.719066606947, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
Report{id=49, positionName='AnyPosition', quantity=313, amount=81315.26310096547, date=Thu Dec 15 23:10:28 GMT+04:00 2022}
