Report{id=1, positionName='AnyPosition', quantity=781, amount=12244.032556229715, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=2, positionName='AnyPosition', quantity=628, amount=65493.97381545217, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=3, positionName='AnyPosition', quantity=500, amount=40754.095953127035, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=4, positionName='AnyPosition', quantity=764, amount=736.2227775516943, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=5, positionName='AnyPosition', quantity=997, amount=95517.80405783704, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=6, positionName='AnyPosition', quantity=850, amount=65502.31478466361, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=7, positionName='AnyPosition', quantity=466, amount=43837.71527306413, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=8, positionName='AnyPosition', quantity=839, amount=82961.16761142328, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=9, positionName='AnyPosition', quantity=914, amount=18259.589657594635, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=10, positionName='AnyPosition', quantity=802, amount=29367.4588036717, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=11, positionName='AnyPosition', quantity=468, amount=26145.604172548537, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=12, positionName='AnyPosition', quantity=891, amount=59504.12786489461, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=13, positionName='AnyPosition', quantity=569, amount=29692.365021425874, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=14, positionName='AnyPosition', quantity=841, amount=51148.214071383016, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=15, positionName='AnyPosition', quantity=255, amount=78047.64263484802, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=16, positionName='AnyPosition', quantity=364, amount=74523.91874708477, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=17, positionName='AnyPosition', quantity=850, amount=62799.59163023125, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=18, positionName='AnyPosition', quantity=430, amount=46018.92972783867, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=19, positionName='AnyPosition', quantity=945, amount=59939.91423852158, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=20, positionName='AnyPosition', quantity=731, amount=14702.439381882936, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
Report{id=21, positionName='AnyPosition', quantity=597, amount=50520.99351077687, date=Thu Dec 15 23:32:02 GMT+04:00 2022}
